capture_artist_project_title,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12
RICHARD CLAYDERMAN - 50 WEDDING FAVOURITES,19,20,18,11,9,12,2,15,9,12,5,3
JAMES - LIVING IN EXTRAORDINARY TIMES,2038,380,186,111,100,52,56,55,35,31,43,21
MARIANNE FAITHFULL - NEGATIVE CAPABILITY,1543,487,302,148,103,121,95,115,94,57,41,33
SIMPLE MINDS - WALK BETWEEN WORLDS,825,411,223,184,176,125,113,82,75,72,99,125
ELOHIM - ELOHIM,303,69,40,33,22,31,25,35,17,22,17,14
GALACTIC EMPIRE - GALACTIC EMPIRE,2200,476,260,165,107,86,59,60,59,77,89,66
MIKE + THE MECHANICS - BEGGAR ON A BEACH OF GOLD,8,6,7,10,7,8,4,11,8,7,16,10
GOOD CHARLOTTE - GENERATION RX,2671,379,393,141,94,88,108,73,87,58,45,29
THE MANHATTAN TRANSFER - THE JUNCTION,447,170,93,80,111,89,37,24,57,59,41,32
FRANK IERO AND THE PATIENCE - KEEP THE COFFINS COMING,287,49,24,14,10,13,16,11,13,14,7,10
THE BEAT - I JUST CAN'T STOP IT,1,9,6,7,2,12,16,9,8,12,11,11
VARIOUS ARTISTS - BABYLON BERLIN OST,530,139,91,72,70,71,51,32,33,48,138,147
HANNI & NANNI - MEHR ALS BESTE FREUNDE (OFFICIAL SOUNDTRACK),50,97,37,32,45,53,50,26,35,15,9,10
TRANSVIOLET - VALLEY,83,24,10,10,65,41,15,3,6,5,13,10
MAKEOUT - THE GOOD LIFE,208,47,20,14,13,11,21,18,11,19,14,11
SEASICK STEVE - CAN U COOK?,547,122,97,64,131,50,66,51,18,19,26,17
ATTACK ATTACK! - ATTACK ATTACK! DELUXE REISSUE,4,11,4,2,3,2,6,9,8,6,1,3
DON MCLEAN - BOTANICAL GARDENS,50,14,14,8,7,1,3,3,1,2,3,2
"THE KINKS - LOLA VERSUS POWERMAN AND THE MONEYGOROUND, PT. 1",173,18,6,12,11,5,4,2,6,5,5,4
LEELA JAMES - DID IT FOR LOVE,1641,583,417,268,302,211,201,147,121,113,108,94
DIO - MASTER OF THE MOON,24,20,18,15,5,7,6,7,4,6,11,12
GARY MOORE - BLUES AND BEYOND,237,123,114,96,107,93,66,93,62,55,58,60
KREATOR - COMA OF SOULS,42,23,9,9,10,5,6,3,4,9,7,6
BILLY CORGAN - OGILALA,1620,549,151,148,272,181,101,87,89,66,88,98
VARIOUS ARTISTS - DIMITRI FROM PARIS PRESENTS SALSOUL MASTERMIX,36,41,28,29,22,14,17,9,7,18,17,15
CYPRESS HILL - ELEPHANTS ON ACID,4729,852,450,311,259,237,190,201,240,171,168,132
THE FLATLINERS - INVITING LIGHT,420,81,70,33,31,25,12,23,14,17,16,15
