capture_artist_project_title,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12
BRYAN FERRY - AVONMORE - THE REMIX ALBUM,135,37,15,10,15,20,16,22,11,5,8,11
ADORO - IRGENDWO AUF DER WELT,183,278,28,54,23,9,6,9,6,4,6,7
PETER VON POEHL - SYMPATHETIC MAGIC,42,39,12,6,7,3,4,2,5,1,4,4
BRING ME THE HORIZON - 2004 - 2013,32,27,24,15,7,6,6,6,5,12,10,8
MIKE + THE MECHANICS - MIKE + THE MECHANICS,8,15,23,26,23,14,16,12,14,8,9,12
FRANCESCO GABBANI - MAGELLANO,111,137,117,61,44,24,30,27,24,14,11,13
LOREEN - RIDE,267,123,41,33,18,16,16,12,8,16,9,11
FIRST CHOICE - DELUSIONS,4,6,6,2,5,5,3,5,6,5,2,8
RICHARD CLAYDERMAN - SWINGING POP HITS,40,3,11,11,9,10,10,2,3,4,3,10
MARC ALMOND - SHADOWS AND REFLECTIONS,565,264,49,51,24,19,14,6,5,5,5,4
AMANDA SHIRES - MY PIECE OF LAND,1269,418,258,355,193,72,102,72,36,88,78,115
DOWNSWING - DARK SIDE OF THE MIND,70,9,12,12,13,10,2,4,4,4,2,1
EIGHTEEN VISIONS - XVIII,862,70,44,42,31,36,25,14,17,13,11,8
KREATOR - RENEWAL,60,37,8,16,13,10,14,7,4,4,8,5
KID ROCK - SWEET SOUTHERN SUGAR,24325,3463,2716,1859,2133,1102,801,784,726,850,572,307
JACOB WHITESIDES - WHY?,3021,201,190,194,107,51,37,55,34,40,21,15
CORONER - GRIN,1,36,17,24,21,14,12,11,10,14,11,6
LP - LOST ON YOU,6603,3353,1896,1416,1369,8023,2278,2163,1458,1271,1087,839
MICHAEL MCDONALD - WIDE OPEN,2520,801,455,1019,306,244,286,100,91,85,132,121
SPARKS - HIPPOPOTAMUS,414,111,41,54,29,22,10,9,10,14,10,5
HOT WATER MUSIC - FUEL FOR THE HATE GAME - EXPANDED EDITION,32,33,23,22,27,25,22,30,26,26,19,23
HOT WATER MUSIC - NO DIVISION - EXPANDED EDITION,36,22,23,15,17,21,16,24,19,17,22,25
HOT WATER MUSIC - LIGHT IT UP,1804,367,136,119,85,62,52,53,42,34,30,31
VARIOUS ARTISTS - A TRIBUTE TO DAN FOGELBERG,3279,481,199,112,50,42,52,36,81,52,31,23
THE DAMNED - DAMNED DAMNED DAMNED,25,73,115,100,72,118,71,75,87,69,83,67
MAKEOUT - THE GOOD LIFE,328,141,64,76,62,39,76,35,30,34,83,40
MARK ISHAM - FALLEN,2,27,15,8,15,17,9,9,8,5,7,8
"JOHN MCLAUGHLIN, JOHN SURMAN, KARL BERGER, STU MARTIN & DAVE HOLLAND - WHERE FORTUNE SMILES",1,2,1,2,3,2,1,1,1,3,2,1
THE BEAT - I JUST CAN'T STOP IT,3,27,49,47,51,27,28,28,21,19,38,11
